"x","y"
245.2862,51.07327
244.3952,54.0897
244.0712,56.20936
244.3952,57.75834
248.0403,61.10087
245.2862,59.87799
244.0712,62.32375
243.7472,59.30732
243.1802,58.08444
241.3171,58.08444
242.8561,58.08444
242.8561,56.20936
243.7472,54.41581
244.0712,52.54073
241.3171,50.42107
242.5321,48.87209
240.4261,48.62752
237.672,50.09497
235.5659,50.09497
233.4599,50.09497
231.2728,50.09497
229.4908,50.74717
228.2758,50.42107
227.0607,49.52429
226.6557,49.85039
225.4407,49.19819
223.9826,48.87209
222.7676,47.97532
220.9046,48.30142
218.4745,48.30142
216.3684,47.97532
214.5054,48.30142
213.6144,50.74717
213.6144,53.51903
211.8323,55.31258
210.8603,54.98648
210.8603,53.51903
212.0753,52.29615
212.3993,51.07327
212.3993,49.52429
211.5083,48.30142
209.9693,47.97532
209.4022,50.09497
207.5392,50.09497
206.3242,49.52429
204.7851,48.62752
204.2181,47.07854
203.0031,45.85566
201.788,43.73601
202.112,41.86093
202.112,40.06737
201.464,38.19229
199.925,37.62162
196.9279,38.19229
194.4978,36.96941
193.6068,36.07264
192.6348,35.42044
191.4198,35.17586
189.9617,35.17586
188.4227,32.97468
186.8836,31.18113
185.9926,29.06147
184.7776,29.06147
184.7776,32.97468
183.8866,36.07264
184.4536,37.86619
188.0987,38.51839
186.8836,39.41517
185.9926,39.08907
185.9926,40.96415
185.1016,40.96415
185.1016,40.06737
184.4536,39.74127
183.8866,39.74127
183.8866,38.51839
183.8866,36.64331
183.2385,34.52366
181.6995,34.84976
180.8085,36.07264
180.4845,35.42044
181.4565,34.52366
182.3475,33.62688
182.0235,31.50723
181.6995,29.63215
181.1325,28.40927
179.5934,27.83859
179.5934,26.28961
178.7024,25.39284
176.8394,24.41453
179.0264,22.94708
179.5934,21.072
181.1325,20.17522
180.8085,18.95235
180.4845,16.83269
179.2694,16.18049
179.0264,14.38694
177.1634,14.38694
174.7333,14.63151
173.5183,13.73473
172.6272,11.94118
172.3032,10.3922
170.7642,9.74
168.0911,11.28898
165.9041,13.73473
166.5521,17.07727
165.9041,19.27845
165.013,21.96878
163.474,22.94708
162.016,23.84386
160.4769,24.41453
158.6139,25.63741
156.1838,25.96351
154.9688,27.18639
152.5387,27.83859
151.3237,27.83859
148.8936,27.51249
148.6506,26.86029
148.3266,25.06674
148.0026,22.94708
146.7876,21.7242
145.2485,21.072
143.7905,20.50133
141.3604,20.17522
138.2823,18.95235
135.8523,20.50133
134.9612,21.96878
135.5282,23.51776
137.0673,24.41453
136.5003,27.83859
136.5003,29.95825
137.9583,31.7518
139.8214,32.97468
142.2514,33.30078
144.0335,35.74654
146.2205,36.96941
147.4356,37.29552
149.8656,38.19229
151.3237,39.08907
152.5387,39.08907
152.8627,38.19229
153.1867,36.64331
155.9408,35.42044
157.3988,35.42044
158.0469,38.19229
158.9379,39.74127
158.6139,40.31195
160.8009,40.96415
162.583,40.96415
164.122,41.53483
166.5521,43.73601
168.3341,43.98058
168.9822,44.95888
169.5492,47.07854
170.5212,49.52429
171.9792,49.85039
173.8423,49.52429
174.7333,50.74717
175.6243,51.97005
176.5964,52.54073
176.8394,55.31258
177.4874,57.18766
178.7024,58.41054
180.4845,58.98122
182.0235,59.63342
184.1296,61.75307
185.1016,63.87273
185.1016,65.74781
185.6686,67.86746
186.5596,70.31322
186.5596,72.75897
188.7467,73.08507
190.5287,73.98185
192.0678,75.20473
192.6348,73.32965
193.8498,71.8622
196.0369,71.5361
197.8189,71.21
197.8189,72.43287
196.0369,72.10677
194.8218,71.8622
194.1738,74.30795
193.6068,76.75371
194.8218,78.54726
197.4949,78.54726
199.358,78.54726
203.0031,78.87336
205.1091,81.8898
205.4331,83.76488
205.4331,85.88453
207.5392,88.00419
210.2933,88.65639
211.5083,90.20537
212.7233,91.10214
213.6144,93.2218
215.1534,94.77078
216.3684,95.66755
217.5835,96.89043
218.7985,96.89043
219.6895,98.1133
221.2286,100.233
220.5805,102.6787
220.0135,104.5538
220.3375,107.5702
220.5805,109.4453
221.2286,112.2172
221.2286,114.0107
222.1196,116.1304
223.0106,118.3316
222.7676,119.799
222.4436,121.6741
222.4436,123.4676
222.4436,124.6905
227.3037,124.6905
230.6248,123.7937
231.8398,122.5709
233.9459,121.0219
235.809,120.4512
237.348,120.4512
238.563,122.0002
239.7781,123.4676
240.9931,124.6905
241.8841,126.2395
243.4232,127.1363
244.8812,127.4624
246.7443,128.3592
248.8503,129.3375
251.2804,129.9081
253.7104,129.9081
255.2495,130.5603
253.7104,131.131
251.9284,131.7832
250.0653,130.8049
248.8503,130.5603
246.4202,129.9081
245.5292,130.5603
244.8812,133.2507
243.6662,135.1257
243.0992,136.9193
241.8841,138.1422
244.6382,138.4683
245.2052,141.5662
244.8812,143.3598
248.5263,144.2566
250.9564,144.2566
253.3864,144.9088
255.5735,145.4794
258.5706,145.2349
260.4336,145.2349
264.4837,145.8055
265.3748,146.3762
266.9138,147.0284
268.1288,146.3762
270.8019,146.3762
272.3409,147.3545
274.204,148.2513
275.986,147.5991
278.0921,147.3545
279.6311,146.7023
283.2762,145.8055
285.3823,146.1316
286.9213,145.4794
288.1364,146.1316
289.9994,146.3762
291.4575,146.3762
292.9965,145.8055
294.8596,144.9088
296.6416,144.9088
297.5326,144.2566
298.5047,143.3598
299.9627,143.0337
300.2867,141.4847
301.8257,140.914
303.3648,140.2618
305.4708,140.2618
307.5769,140.5879
309.1159,140.5879
310.655,141.2401
312.113,141.8108
313.6521,141.8108
314.8671,142.1369
316.0821,142.7076
317.2972,143.0337
318.5122,143.0337
320.0512,143.0337
321.8333,142.7076
323.3723,142.463
325.4784,142.1369
327.6654,142.1369
327.6654,140.5879
329.1235,142.463
330.3385,145.1533
330.6625,147.0284
329.7715,148.822
329.1235,150.0449
329.1235,151.9199
329.4475,154.0396
329.7715,155.5886
329.7715,156.4853
331.3105,156.8114
331.3105,159.2572
330.9865,160.154
332.2016,161.3769
332.5256,163.2519
332.5256,164.4748
335.1986,164.4748
336.7377,165.6977
337.9527,168.1434
340.0588,169.3663
341.2738,171.1599
342.4888,172.3828
343.7039,172.7089
344.9189,174.5024
346.782,174.5024
348.321,174.8285
349.536,175.1546
350.7511,177.6004
352.8571,180.0461
353.4241,182.4919
354.3962,184.2854
354.6392,185.8344
356.1782,186.7312
358.0413,188.2802
358.9323,189.8292
359.8233,192.601
